id_empresa,data_hospedagem,smape,correlation_price_revenue,r_squared_trend,fator_index_comparacao,media_consolidada_ocupacao_futuro,total_inversions
65,2023-05-15,0.26,0.12,0.02,1.14,0.74,15669.0
114,2023-05-15,0.26,0.12,0.02,1.41,0.74,21886.0
156,2023-05-15,0.26,0.12,0.02,0.81,0.74,20032.0
196,2023-05-15,0.26,0.12,0.02,0.9,0.74,20565.0
197,2023-05-15,0.26,0.12,0.02,0.78,0.74,23937.0
201,2023-05-15,0.26,0.12,0.02,1.43,0.74,20862.0
210,2023-05-15,0.26,0.12,0.02,1.4,0.74,23385.0
241,2023-05-15,0.26,0.12,0.02,0.88,0.74,20604.0
257,2023-05-15,0.26,0.12,0.02,1.05,0.74,22618.0
258,2023-05-15,0.26,0.12,0.02,1.18,0.74,24547.0
259,2023-05-15,0.26,0.12,0.02,1.13,0.74,23824.0
261,2023-05-15,0.26,0.12,0.02,1.2,0.74,22076.0
262,2023-05-15,0.26,0.12,0.02,0.96,0.74,22986.0
268,2023-05-15,0.26,0.12,0.02,1.18,0.74,21792.0
270,2023-05-15,0.26,0.12,0.02,0.93,0.74,23774.0
275,2023-05-15,0.26,0.12,0.02,4.63,0.74,23882.0
285,2023-05-15,0.26,0.12,0.02,1.31,0.74,11536.0
294,2023-05-15,0.26,0.12,0.02,1.32,0.74,22570.0
305,2023-05-15,0.26,0.12,0.02,0.77,0.74,20787.0
306,2023-05-15,0.26,0.12,0.02,0.86,0.74,20604.0
317,2023-05-15,0.26,0.12,0.02,1.01,0.74,14255.0
318,2023-05-15,0.26,0.12,0.02,1.33,0.74,18494.0
321,2023-05-15,0.26,0.12,0.02,0.8,0.74,22838.0
322,2023-05-15,0.26,0.12,0.02,0.86,0.74,20604.0
323,2023-05-15,0.26,0.12,0.02,0.96,0.74,22986.0
327,2023-05-15,0.26,0.12,0.02,0.8,0.74,20032.0
330,2023-05-15,0.26,0.12,0.02,0.83,0.74,20032.0
338,2023-05-15,0.26,0.12,0.02,0.64,0.74,27981.0
340,2023-05-15,0.26,0.12,0.02,0.8,0.74,22838.0
342,2023-05-15,0.26,0.12,0.02,0.97,0.74,22986.0
343,2023-05-15,0.26,0.12,0.02,0.81,0.74,20032.0
349,2023-05-15,0.26,0.12,0.02,0.76,0.74,20787.0
353,2023-05-15,0.26,0.12,0.02,0.81,0.74,20032.0
354,2023-05-15,0.26,0.12,0.02,0.89,0.74,20565.0
356,2023-05-15,0.26,0.12,0.02,0.73,0.74,20787.0
358,2023-05-15,0.26,0.12,0.02,0.99,0.74,14255.0
359,2023-05-15,0.26,0.12,0.02,0.78,0.74,20787.0
162,2023-05-15,0.26,0.12,0.02,0.78,0.74,23937.0
65,2023-05-18,0.26,0.12,0.02,1.14,0.74,15669.0
114,2023-05-18,0.26,0.12,0.02,1.41,0.74,21886.0
156,2023-05-18,0.26,0.12,0.02,0.81,0.74,20032.0
162,2023-05-18,0.26,0.12,0.02,0.78,0.74,23937.0
196,2023-05-18,0.26,0.12,0.02,0.9,0.74,20565.0
197,2023-05-18,0.26,0.12,0.02,0.78,0.74,23937.0
201,2023-05-18,0.26,0.12,0.02,1.43,0.74,20862.0
210,2023-05-18,0.26,0.12,0.02,1.4,0.74,23385.0
241,2023-05-18,0.26,0.12,0.02,0.88,0.74,20604.0
257,2023-05-18,0.26,0.12,0.02,1.05,0.74,22618.0
258,2023-05-18,0.26,0.12,0.02,1.18,0.74,24547.0
259,2023-05-18,0.26,0.12,0.02,1.13,0.74,23824.0
261,2023-05-18,0.26,0.12,0.02,1.2,0.74,22076.0
262,2023-05-18,0.26,0.12,0.02,0.96,0.74,22986.0
268,2023-05-18,0.26,0.12,0.02,1.18,0.74,21792.0
270,2023-05-18,0.26,0.12,0.02,0.93,0.74,23774.0
275,2023-05-18,0.26,0.12,0.02,4.63,0.74,23882.0
285,2023-05-18,0.26,0.12,0.02,1.31,0.74,11536.0
294,2023-05-18,0.26,0.12,0.02,1.32,0.74,22570.0
305,2023-05-18,0.26,0.12,0.02,0.77,0.74,20787.0
306,2023-05-18,0.26,0.12,0.02,0.86,0.74,20604.0
317,2023-05-18,0.26,0.12,0.02,1.01,0.74,14255.0
318,2023-05-18,0.26,0.12,0.02,1.33,0.74,18494.0
321,2023-05-18,0.26,0.12,0.02,0.8,0.74,22838.0
322,2023-05-18,0.26,0.12,0.02,0.86,0.74,20604.0
323,2023-05-18,0.26,0.12,0.02,0.96,0.74,22986.0
327,2023-05-18,0.26,0.12,0.02,0.8,0.74,20032.0
330,2023-05-18,0.26,0.12,0.02,0.83,0.74,20032.0
338,2023-05-18,0.26,0.12,0.02,0.64,0.74,27981.0
340,2023-05-18,0.26,0.12,0.02,0.8,0.74,22838.0
342,2023-05-18,0.26,0.12,0.02,0.97,0.74,22986.0
343,2023-05-18,0.26,0.12,0.02,0.81,0.74,20032.0
349,2023-05-18,0.26,0.12,0.02,0.76,0.74,20787.0
353,2023-05-18,0.26,0.12,0.02,0.81,0.74,20032.0
354,2023-05-18,0.26,0.12,0.02,0.89,0.74,20565.0
356,2023-05-18,0.26,0.12,0.02,0.73,0.74,20787.0
358,2023-05-18,0.26,0.12,0.02,0.99,0.74,14255.0
359,2023-05-18,0.26,0.12,0.02,0.78,0.74,20787.0
65,2023-05-21,0.26,0.12,0.02,1.14,0.74,15669.0
114,2023-05-21,0.26,0.12,0.02,1.41,0.74,21886.0
156,2023-05-21,0.26,0.12,0.02,0.81,0.74,20032.0
162,2023-05-21,0.26,0.12,0.02,0.78,0.74,23937.0
196,2023-05-21,0.26,0.12,0.02,0.9,0.74,20565.0
197,2023-05-21,0.26,0.12,0.02,0.78,0.74,23937.0
201,2023-05-21,0.26,0.12,0.02,1.43,0.74,20862.0
210,2023-05-21,0.26,0.12,0.02,1.4,0.74,23385.0
241,2023-05-21,0.26,0.12,0.02,0.88,0.74,20604.0
257,2023-05-21,0.26,0.12,0.02,1.05,0.74,22618.0
258,2023-05-21,0.26,0.12,0.02,1.18,0.74,24547.0
259,2023-05-21,0.26,0.12,0.02,1.13,0.74,23824.0
